Tahap Pengajian,Program Pilihan,Kampus Pilihan,Tahun Pengambilan Pilihan,Bulan Pengambilan Pilihan
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pentadbiran Perniagaan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pendidikan Awal Kanak-Kanak) (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuala Terengganu,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pengajaran Bahasa Inggeris sebagai Bahasa Kedua) dengan Kepujian,Kolej Universiti UNITAR Kuala Lumpur,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pengajaran Bahasa Inggeris sebagai Bahasa Kedua) dengan Kepujian,Kolej Universiti UNITAR Kuala Lumpur,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pengajaran Bahasa Inggeris sebagai Bahasa Kedua) dengan Kepujian,Kolej Universiti UNITAR Kuala Lumpur,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pengajaran Bahasa Inggeris sebagai Bahasa Kedua) dengan Kepujian,Kolej Universiti UNITAR Kuala Lumpur,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Pengajaran Bahasa Inggeris sebagai Bahasa Kedua) dengan Kepujian,Kolej Universiti UNITAR Kuala Lumpur,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kuching,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Pendidikan (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Kota Kinabalu,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Seni Reka Fesyen dengan Pemasaran (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Seni Reka Fesyen dengan Pemasaran (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Seni Reka Fesyen dengan Pemasaran (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Seni Reka Fesyen dengan Pemasaran (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Seni Reka Fesyen dengan Pemasaran (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Diploma,Diploma Pendidikan Awal Kanak-Kanak,Kolej Universiti UNITAR Kuala Lumpur,2026,Mei
Diploma,Diploma Pendidikan Awal Kanak-Kanak,Kolej Universiti UNITAR Kuala Lumpur,2026,September
Diploma,Diploma Pendidikan Awal Kanak-Kanak,Kolej Universiti UNITAR Kuala Lumpur,2027,Januari
Diploma,Diploma Pendidikan Awal Kanak-Kanak,Kolej Universiti UNITAR Kuala Lumpur,2027,Mei
Diploma,Diploma Pendidikan Awal Kanak-Kanak,Kolej Universiti UNITAR Kuala Lumpur,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Kewangan (Fintech) (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Teknologi Maklumat (Kepujian),Pusat Wilayah Universiti Antarabangsa UNITAR Ipoh,2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Komunikasi Massa (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Komunikasi Massa (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Komunikasi Massa (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Komunikasi Massa (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Komunikasi Massa (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian),Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Ijazah Sarjana Muda,Ijazah Sarjana Muda Psikologi (Kepujian) - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Kedoktoran,Ijazah Doktor Falsafah Pendidikan,Kolej Universiti UNITAR Kuala Lumpur,2026,Mei
Kedoktoran,Ijazah Doktor Falsafah Pendidikan,Kolej Universiti UNITAR Kuala Lumpur,2026,September
Kedoktoran,Ijazah Doktor Falsafah Pendidikan,Kolej Universiti UNITAR Kuala Lumpur,2027,Januari
Kedoktoran,Ijazah Doktor Falsafah Pendidikan,Kolej Universiti UNITAR Kuala Lumpur,2027,Mei
Kedoktoran,Ijazah Doktor Falsafah Pendidikan,Kolej Universiti UNITAR Kuala Lumpur,2027,September
Diploma,Diploma Perakaunan,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Diploma,Diploma Perakaunan,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Diploma,Diploma Perakaunan,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Diploma,Diploma Perakaunan,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Diploma,Diploma Perakaunan,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Diploma,Diploma Perakaunan - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Diploma,Diploma Perakaunan - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Diploma,Diploma Perakaunan - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Diploma,Diploma Perakaunan - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Diploma,Diploma Perakaunan - Dalam Talian,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Diploma,Diploma Reka Bentuk Animasi,Universiti Antarabangsa UNITAR (Kampus Utama),2026,Mei
Diploma,Diploma Reka Bentuk Animasi,Universiti Antarabangsa UNITAR (Kampus Utama),2026,September
Diploma,Diploma Reka Bentuk Animasi,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Januari
Diploma,Diploma Reka Bentuk Animasi,Universiti Antarabangsa UNITAR (Kampus Utama),2027,Mei
Diploma,Diploma Reka Bentuk Animasi,Universiti Antarabangsa UNITAR (Kampus Utama),2027,September
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,Mei
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,September
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Januari
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Mei
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,September
Diploma,Diploma Pentadbiran Perniagaan - BM,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,Mei
Diploma,Diploma Pentadbiran Perniagaan - BM,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2026,September
Diploma,Diploma Pentadbiran Perniagaan - BM,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Januari
Diploma,Diploma Pentadbiran Perniagaan - BM,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,Mei
Diploma,Diploma Pentadbiran Perniagaan - BM,Pusat Wilayah Universiti Antarabangsa UNITAR Kuantan,2027,September
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2026,Mei
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2026,September
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,Januari
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,Mei
Diploma,Diploma Pentadbiran Perniagaan,Pusat Wilayah Universiti Antarabangsa UNITAR Melaka,2027,September
